"CENTRAL ELECTRICITY AUTHORITY",,,,,,,,,,
"OPERATION MONITORING DIVISION",,,,,,,,,,
"DAILY COAL REPORT",,,,,,,,,,
"Figures in 000 tonnes",,,,,,,,,,
"COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 03-Apr-2011 )",,,,,,,,,,
"Page 1 of2",,,,,,,,,,
,,,,,,,,,,
"REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"81","RAIL","BUDGE BUDGE TPS",750,20,9.5,276,29,,,
"82","RAIL","NEW COSSIPORE TPS",160,20,1.3,19,15,,,
"83","RAIL","SOUTHERN REPL. TPS",135,20,2.3,59,26,,,
"84","RAIL","TITAGARH TPS",240,20,3.8,62,16,,,
"85","PITHEAD","FARAKKA STPS",2100,15,31.8,121,4,"*","Coal Transportation",
"TOTAL OF E.R.",21515,18,298.5,2741,9,9,4,,,
"ALL INDIA TOTAL",82442,22,1230,14909,12,30,15,,,
,,,,,,,,,,
"(*) Critical i.e. stock less than 7 days in",30,"TPSs","{Includes super critical also}",,,,,,,
"(**) Super Critical i.e. stock less than 4 days in",15,"TPSs",,,,,,,,
"CENTRAL ELECTRICITY AUTHORITY",,,,,,,,,,
"OPERATION MONITORING DIVISION",,,,,,,,,,
"DAILY COAL REPORT",,,,,,,,,,
"Figures in 000 tonnes",,,,,,,,,,
"COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 18-Apr-2011 )",,,,,,,,,,
"Page 1 of2",,,,,,,,,,
,,,,,,,,,,
"REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"NORTHERN",,,,,,,,,,
"DELHI",,,,,,,,,,
"1","RAIL","RAJGHAT TPS",135,20,2.5,2,1,"*","**","Less Receipt"
"2","RAIL","BADARPUR TPS",705,30,12.7,167,13,,,
"HARYANA",,,,,,,,,,
"3","RAIL","PANIPAT TPS",1360,25,21.7,111,5,"*","Less import",
"4","RAIL","YAMUNA NAGAR TPS",600,25,8.1,109,13,,,
"5","RAIL","RAJIV GANDHI TPS",1200,25,15.6,172,11,,,
"6","RAIL","INDIRA GANDHI STPP",500,25,6.9,177,26,,,
"PUNJAB",,,,,,,,,,
"7","RAIL","GH TPS (LEH.MOH.)",920,30,13,213,16,,,
"8","RAIL","ROPAR TPS",1260,25,20.2,471,23,,,
"9","RAIL","GND TPS(BHATINDA)",440,30,5.2,136,26,,,
"RAJASTHAN",,,,,,,,,,
"10","RAIL","KOTA TPS",1240,30,18.6,89,5,"*","Less import",
"11","RAIL","SURATGARH TPS",1500,30,20.8,199,10,,,
"12","RAIL","CHHABRA TPP",500,30,6.4,213,34,,,
"UTTAR PRADESH",,,,,,,,,,
"13","PITHEAD","ANPARA TPS",1630,15,25.4,347,14,,,
"14","RAIL","HARDUAGANJ TPS",220,25,2.8,95,34,,,
"15","RAIL","OBRA TPS",1372,20,13.9,256,18,,,
"16","RAIL","PANKI TPS",210,30,3.5,101,29,,,
"17","RAIL","PARICHHA TPS",640,30,9.2,302,33,,,
"18","RAIL","DADRI (NCTPP)",1820,30,26.6,92,3,"*","**","Less Receipt"
"19","PITHEAD","RIHAND STPS",2000,15,32.1,663,21,,,
"20","PITHEAD","SINGRAULI STPS",2000,15,32.6,697,21,,,
"21","RAIL","TANDA TPS",440,25,7.8,260,33,,,
"22","RAIL","UNCHAHAR TPS",1050,25,17.6,516,29,,,
"23","RAIL","ROSA TPP Ph-I",600,25,8.7,46,5,"*","Data not received",
"TOTAL OF N.R.",22342,24,331.9,5433,16,5,2,,,
"WESTERN",,,,,,,,,,
"CHHATTISGARH",,,,,,,,,,
"24","RAIL","DSPM TPS",500,15,8.7,122,14,,,
"25","PITHEAD","KORBA-II",440,15,8.7,123,14,,,
"26","PITHEAD","KORBA-WEST TPS",840,15,14.4,457,32,,,
"27","PITHEAD","KORBA STPS",2600,15,37.6,525,14,,,
"28","PITHEAD","SIPAT STPS",1000,20,17.3,642,37,,,
"29","RAIL","PATHADI TPP",600,15,8.7,221,26,,,
"30","RAIL","BHILAI TPS",500,25,7.8,97,12,,,
"GUJARAT",,,,,,,,,,
"31","RAIL","GANDHI NAGAR TPS",870,30,14.2,49,3,"*","**","Less Receipt"
"32","RAIL","UKAI TPS",850,30,12.1,25,2,"*","**","Higher Generation"
"33","RAIL","SIKKA REP. TPS",240,30,3.8,8,2,"*","**","Less Receipt"
"34","RAIL","WANAKBORI TPS",1470,30,22.5,104,5,"*","Less Receipt",
"35","RAIL","SABARMATI (C",400,30,6.4,74,12,,,
"STATION)",,,,,,,,,,
"MADHYA PRADESH",,,,,,,,,,
"36","PITHEAD","AMARKANTAK EXT TPS",450,15,5.2,173,33,,,
"37","RAIL","SANJAY GANDHI TPS",1340,20,18.5,10,1,"*","**","Less import"
"38","RAIL","SATPURA TPS",1142.5,20,17.9,112,6,"*","Less Receipt",
"39","PITHEAD","VINDHYACHAL STPS",3260,15,54,642,12,,,
"MAHARASHTRA",,,,,,,,,,
"40","RAIL","BHUSAWAL TPS",470,20,7.5,252,34,,,
"41","RAIL","CHANDRAPUR(MAHAR",2340,20,39,463,12,,,
"ASHTRA) STPS",,,,,,,,,,
"42","RAIL","KHAPARKHEDA TPS- II",840,25,15.6,14,1,"*","**","Less Receipt"
"Page 2 of2",,,,,,,,,,
,,,,,,,,,,
" REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"43","RAIL","KORADI TPS",1040,25,13.9,252,18,,,
"44","RAIL","NASIK TPS",880,25,13.6,210,15,,,
"45","RAIL","PARLI TPS",1170,25,16.7,85,5,"*","Less Receipt",
"46","RAIL","PARAS TPS",555,25,7.5,120,16,,,
"47","RAIL","DAHANU TPS",500,25,9.2,23,3,"*","**","Less Receipt - SECL"
"48","RAIL","WARDHA WARORA",405,20,6.6,39,6,"*","Supply not started",
"TOTAL OF W.R.",24702.5,21,387.4,4843,13,10,6,,,
"SOUTHERN",,,,,,,,,,
"ANDHRA PRADESH",,,,,,,,,,
"49","RAIL","Dr. N.TATA RAO TPS",1760,20,26,127,5,"*","Less Receipt",
"50","RAIL","KOTHAGUDEM TPS",1220,20,18.9,339,18,,,
"51","ROAD","RAMAGUNDEM - B TPS",62.5,20,1,8,8,,,
"52","RAIL","RAYALASEEMA TPS",1050,25,16.5,80,5,"*","Less Receipt",
"53","PITHEAD","RAMAGUNDEM STPS",2600,15,38.1,516,14,,,
"54","RAIL","SIMHADRI",1500,25,23.1,162,7,,,
"55","PITHEAD","KAKATIYA TPS",500,15,5.8,109,19,,,
"KARNATAKA",,,,,,,,,,
"56","RAIL","RAICHUR TPS",1720,30,25.1,424,17,,,
"57","RAIL","BELLARY TPS",500,20,8.7,59,7,,,
"TAMIL NADU",,,,,,,,,,
"58","INTER MODAL","ENNORE TPS",450,30,6.9,6,1,"*","**","Less Receipt"
"59","INTER MODAL","METTUR TPS",840,30,13.6,86,6,"*","Less Receipt",
"60","INTER MODAL","NORTH CHENNAI TPS",630,30,10.4,37,4,"*","Less Receipt",
"61","INTER MODAL","TUTICORIN TPS",1050,30,18.5,13,1,"*","**","Less Receipt"
"TOTAL OF S.R.",13882.5,23,212.6,1968,9,6,2,,,
"EASTERN",,,,,,,,,,
"BIHAR",,,,,,,,,,
"62","RAIL","BARAUNI TPS",310,20,1.2,15,13,,,
"63","RAIL","MUZAFFARPUR TPS",220,20,1.7,10,6,"*","Less Receipt",
"64","PITHEAD","KAHALGAON TPS",2340,15,40.4,2,0,"*","**","Coal Transportation"
"JHARKHAND",,,,,,,,,,
"65","RAIL","PATRATU TPS",770,20,2.9,87,30,,,
"66","ROAD","TENUGHAT TPS",420,20,4.6,60,13,,,
"67","RAIL","BOKARO `B` TPS",630,20,9,361,40,,,
"68","RAIL","CHANDRAPURA(DVC)",890,20,8.1,3,0,"*","**","Less Receipt"
"TPS",,,,,,,,,,
"ORISSA",,,,,,,,,,
"69","PITHEAD","IB VALLEY TPS",420,15,7.8,145,19,,,
"70","PITHEAD","TALCHER (OLD) TPS",470,15,8.7,243,28,,,
"71","PITHEAD","TALCHER STPS",3000,15,52,406,8,,,
"72","RAIL","STERLITE TPP",1200,20,17.3,71,4,"*","Less Receipt",
"WEST BENGAL",,,,,,,,,,
"73","RAIL","DURGAPUR TPS",340,20,4.8,305,64,,,
"74","RAIL","MEJIA TPS",2340,20,28.9,0,0,"*","**","Higher Trun around"
"time",,,,,,,,,,
"75","RAIL","BAKRESWAR TPS",1050,25,17.3,162,9,,,
"76","RAIL","BANDEL TPS",450,20,4.9,27,5,"*","Less Receipt",
"77","RAIL","D.P.L. TPS",690,25,7.8,183,24,,,
"78","RAIL","KOLAGHAT TPS",1260,25,18.2,22,1,"*","**","Less Receipt"
"79","RAIL","SAGARDIGHI TPS",600,20,7.8,39,5,"*","Less import",
"80","RAIL","SANTALDIH TPS",730,20,6.4,47,7,,,
"81","RAIL","BUDGE BUDGE TPS",750,20,9.5,280,29,,,
"82","RAIL","NEW COSSIPORE TPS",160,20,1.3,18,14,,,
"83","RAIL","SOUTHERN REPL. TPS",135,20,2.3,57,25,,,
"84","RAIL","TITAGARH TPS",240,20,3.8,62,17,,,
"85","PITHEAD","FARAKKA STPS",2100,15,31.8,128,4,"*","Coal Transportation",
"TOTAL OF E.R.",21515,18,298.5,2734,9,9,4,,,
"ALL INDIA TOTAL",82442,22,1230,14978,12,30,14,,,
,,,,,,,,,,
"(*) Critical i.e. stock less than 7 days in",30,"TPSs","{Includes super critical also}",,,,,,,
"(**) Super Critical i.e. stock less than 4 days in",14,"TPSs",,,,,,,,
"CENTRAL ELECTRICITY AUTHORITY",,,,,,,,,,
"OPERATION MONITORING DIVISION",,,,,,,,,,
"DAILY COAL REPORT",,,,,,,,,,
"Figures in 000 tonnes",,,,,,,,,,
"COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 18-Apr-2011 )",,,,,,,,,,
"Page 1 of2",,,,,,,,,,
,,,,,,,,,,
"REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"NORTHERN",,,,,,,,,,
"DELHI",,,,,,,,,,
"1","RAIL","RAJGHAT TPS",135,20,2.5,1,0,"*","**","Less Receipt"
"2","RAIL","BADARPUR TPS",705,30,12.7,183,14,,,
"HARYANA",,,,,,,,,,
"3","RAIL","PANIPAT TPS",1360,25,21.7,125,6,"*","Less import",
"4","RAIL","YAMUNA NAGAR TPS",600,25,8.1,109,13,,,
"5","RAIL","RAJIV GANDHI TPS",1200,25,15.6,171,11,,,
"6","RAIL","INDIRA GANDHI STPP",500,25,6.9,177,26,,,
"PUNJAB",,,,,,,,,,
"7","RAIL","GH TPS (LEH.MOH.)",920,30,13,225,17,,,
"8","RAIL","ROPAR TPS",1260,25,20.2,488,24,,,
"9","RAIL","GND TPS(BHATINDA)",440,30,5.2,137,26,,,
"RAJASTHAN",,,,,,,,,,
"10","RAIL","KOTA TPS",1240,30,18.6,90,5,"*","Less import",
"11","RAIL","SURATGARH TPS",1500,30,20.8,200,10,,,
"12","RAIL","CHHABRA TPP",500,30,6.4,210,33,,,
"UTTAR PRADESH",,,,,,,,,,
"13","PITHEAD","ANPARA TPS",1630,15,25.4,340,13,,,
"14","RAIL","HARDUAGANJ TPS",220,25,2.8,95,34,,,
"15","RAIL","OBRA TPS",1372,20,13.9,263,19,,,
"16","RAIL","PANKI TPS",210,30,3.5,102,30,,,
"17","RAIL","PARICHHA TPS",640,30,9.2,300,32,,,
"18","RAIL","DADRI (NCTPP)",1820,30,26.6,100,4,"*","Less Receipt",
"19","PITHEAD","RIHAND STPS",2000,15,32.1,664,21,,,
"20","PITHEAD","SINGRAULI STPS",2000,15,32.6,707,22,,,
"21","RAIL","TANDA TPS",440,25,7.8,259,33,,,
"22","RAIL","UNCHAHAR TPS",1050,25,17.6,513,29,,,
"23","RAIL","ROSA TPP Ph-I",600,25,8.7,46,5,"*","No import",
"TOTAL OF N.R.",22342,24,331.9,5507,17,5,1,,,
"WESTERN",,,,,,,,,,
"CHHATTISGARH",,,,,,,,,,
"24","RAIL","DSPM TPS",500,15,8.7,120,14,,,
"25","PITHEAD","KORBA-II",440,15,8.7,123,14,,,
"26","PITHEAD","KORBA-WEST TPS",840,15,14.4,457,32,,,
"27","PITHEAD","KORBA STPS",2600,15,37.6,519,14,,,
"28","PITHEAD","SIPAT STPS",1000,20,17.3,647,37,,,
"29","RAIL","PATHADI TPP",600,15,8.7,215,25,,,
"30","RAIL","BHILAI TPS",500,25,7.8,92,12,,,
"GUJARAT",,,,,,,,,,
"31","RAIL","GANDHI NAGAR TPS",870,30,14.2,57,4,"*","Less Receipt",
"32","RAIL","UKAI TPS",850,30,12.1,24,2,"*","**","Higher Generation"
"33","RAIL","SIKKA REP. TPS",240,30,3.8,14,4,"*","Less Receipt",
"34","RAIL","WANAKBORI TPS",1470,30,22.5,108,5,"*","Less Receipt",
"35","RAIL","SABARMATI (C",400,30,6.4,70,11,,,
"STATION)",,,,,,,,,,
"MADHYA PRADESH",,,,,,,,,,
"36","PITHEAD","AMARKANTAK EXT TPS",450,15,5.2,172,33,,,
"37","RAIL","SANJAY GANDHI TPS",1340,20,18.5,12,1,"*","**","Less import"
"38","RAIL","SATPURA TPS",1142.5,20,17.9,114,6,"*","Less Receipt",
"39","PITHEAD","VINDHYACHAL STPS",3260,15,54,630,12,,,
"MAHARASHTRA",,,,,,,,,,
"40","RAIL","BHUSAWAL TPS",470,20,7.5,251,33,,,
"41","RAIL","CHANDRAPUR(MAHAR",2340,20,39,460,12,,,
"ASHTRA) STPS",,,,,,,,,,
"42","RAIL","KHAPARKHEDA TPS- II",840,25,15.6,17,1,"*","**","Less Receipt"
"Page 2 of2",,,,,,,,,,
,,,,,,,,,,
" REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"43","RAIL","KORADI TPS",1040,25,13.9,250,18,,,
"44","RAIL","NASIK TPS",880,25,13.6,210,15,,,
"45","RAIL","PARLI TPS",1170,25,16.7,72,4,"*","Less Receipt",
"46","RAIL","PARAS TPS",555,25,7.5,118,16,,,
"47","RAIL","DAHANU TPS",500,25,9.2,21,2,"*","**","Less Receipt - SECL"
"48","RAIL","WARDHA WARORA",405,20,6.6,41,6,"*","Supply not started",
"TOTAL OF W.R.",24702.5,21,387.4,4814,12,10,4,,,
"SOUTHERN",,,,,,,,,,
"ANDHRA PRADESH",,,,,,,,,,
"49","RAIL","Dr. N.TATA RAO TPS",1760,20,26,133,5,"*","Less Receipt",
"50","RAIL","KOTHAGUDEM TPS",1220,20,18.9,335,18,,,
"51","ROAD","RAMAGUNDEM - B TPS",62.5,20,1,9,9,,,
"52","RAIL","RAYALASEEMA TPS",1050,25,16.5,69,4,"*","Less Receipt",
"53","PITHEAD","RAMAGUNDEM STPS",2600,15,38.1,522,14,,,
"54","RAIL","SIMHADRI",1500,25,23.1,148,6,"*","Less Receipt",
"55","PITHEAD","KAKATIYA TPS",500,15,5.8,108,19,,,
"KARNATAKA",,,,,,,,,,
"56","RAIL","RAICHUR TPS",1720,30,25.1,424,17,,,
"57","RAIL","BELLARY TPS",500,20,8.7,63,7,,,
"TAMIL NADU",,,,,,,,,,
"58","INTER MODAL","ENNORE TPS",450,30,6.9,9,1,"*","**","Less Receipt"
"59","INTER MODAL","METTUR TPS",840,30,13.6,84,6,"*","Less Receipt",
"60","INTER MODAL","NORTH CHENNAI TPS",630,30,10.4,48,5,"*","Less Receipt",
"61","INTER MODAL","TUTICORIN TPS",1050,30,18.5,21,1,"*","**","Less Receipt"
"TOTAL OF S.R.",13882.5,23,212.6,1972,9,7,2,,,
"EASTERN",,,,,,,,,,
"BIHAR",,,,,,,,,,
"62","RAIL","BARAUNI TPS",310,20,1.2,14,12,,,
"63","RAIL","MUZAFFARPUR TPS",220,20,1.7,14,8,,,
"64","PITHEAD","KAHALGAON TPS",2340,15,40.4,3,0,"*","**","Coal Transportation"
"JHARKHAND",,,,,,,,,,
"65","RAIL","PATRATU TPS",770,20,2.9,85,29,,,
"66","ROAD","TENUGHAT TPS",420,20,4.6,60,13,,,
"67","RAIL","BOKARO `B` TPS",630,20,9,359,40,,,
"68","RAIL","CHANDRAPURA(DVC)",890,20,8.1,4,0,"*","**","Less Receipt"
"TPS",,,,,,,,,,
"ORISSA",,,,,,,,,,
"69","PITHEAD","IB VALLEY TPS",420,15,7.8,149,19,,,
"70","PITHEAD","TALCHER (OLD) TPS",470,15,8.7,240,28,,,
"71","PITHEAD","TALCHER STPS",3000,15,52,398,8,,,
"72","RAIL","STERLITE TPP",1200,20,17.3,96,6,"*","Less Receipt",
"WEST BENGAL",,,,,,,,,,
"73","RAIL","DURGAPUR TPS",340,20,4.8,312,65,,,
"74","RAIL","MEJIA TPS",2340,20,28.9,0,0,"*","**","Higher Trun around"
"time",,,,,,,,,,
"75","RAIL","BAKRESWAR TPS",1050,25,17.3,167,10,,,
"76","RAIL","BANDEL TPS",450,20,4.9,28,6,"*","Less Receipt",
"77","RAIL","D.P.L. TPS",690,25,7.8,182,23,,,
"78","RAIL","KOLAGHAT TPS",1260,25,18.2,25,1,"*","**","Less Receipt"
"79","RAIL","SAGARDIGHI TPS",600,20,7.8,38,5,"*","Less import",
"80","RAIL","SANTALDIH TPS",730,20,6.4,48,7,,,
"81","RAIL","BUDGE BUDGE TPS",750,20,9.5,281,29,,,
"82","RAIL","NEW COSSIPORE TPS",160,20,1.3,20,16,,,
"83","RAIL","SOUTHERN REPL. TPS",135,20,2.3,55,24,,,
"84","RAIL","TITAGARH TPS",240,20,3.8,59,16,,,
"85","PITHEAD","FARAKKA STPS",2100,15,31.8,137,4,"*","Coal Transportation",
"TOTAL OF E.R.",21515,18,298.5,2773,9,8,4,,,
"ALL INDIA TOTAL",82442,22,1230,15066,12,30,11,,,
,,,,,,,,,,
"(*) Critical i.e. stock less than 7 days in",30,"TPSs","{Includes super critical also}",,,,,,,
"(**) Super Critical i.e. stock less than 4 days in",11,"TPSs",,,,,,,,
"CENTRAL ELECTRICITY AUTHORITY",,,,,,,,,,
"OPERATION MONITORING DIVISION",,,,,,,,,,
"DAILY COAL REPORT",,,,,,,,,,
"Figures in 000 tonnes",,,,,,,,,,
"COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 18-Apr-2011 )",,,,,,,,,,
"Page 1 of2",,,,,,,,,,
,,,,,,,,,,
"REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"NORTHERN",,,,,,,,,,
"DELHI",,,,,,,,,,
"1","RAIL","RAJGHAT TPS",135,20,2.5,6,2,"*","**","Less Receipt"
"2","RAIL","BADARPUR TPS",705,30,12.7,179,14,,,
"HARYANA",,,,,,,,,,
"3","RAIL","PANIPAT TPS",1360,25,21.7,127,6,"*","Less import",
"4","RAIL","YAMUNA NAGAR TPS",600,25,8.1,105,13,,,
"5","RAIL","RAJIV GANDHI TPS",1200,25,15.6,171,11,,,
"6","RAIL","INDIRA GANDHI STPP",500,25,6.9,170,25,,,
"PUNJAB",,,,,,,,,,
"7","RAIL","GH TPS (LEH.MOH.)",920,30,13,227,17,,,
"8","RAIL","ROPAR TPS",1260,25,20.2,494,24,,,
"9","RAIL","GND TPS(BHATINDA)",440,30,5.2,139,27,,,
"RAJASTHAN",,,,,,,,,,
"10","RAIL","KOTA TPS",1240,30,18.6,88,5,"*","Less import",
"11","RAIL","SURATGARH TPS",1500,30,20.8,200,10,,,
"12","RAIL","CHHABRA TPP",500,30,6.4,210,33,,,
"UTTAR PRADESH",,,,,,,,,,
"13","PITHEAD","ANPARA TPS",1630,15,25.4,341,13,,,
"14","RAIL","HARDUAGANJ TPS",220,25,2.8,95,34,,,
"15","RAIL","OBRA TPS",1372,20,13.9,266,19,,,
"16","RAIL","PANKI TPS",210,30,3.5,100,29,,,
"17","RAIL","PARICHHA TPS",640,30,9.2,294,32,,,
"18","RAIL","DADRI (NCTPP)",1820,30,26.6,101,4,"*","Less Receipt",
"19","PITHEAD","RIHAND STPS",2000,15,32.1,663,21,,,
"20","PITHEAD","SINGRAULI STPS",2000,15,32.6,711,22,,,
"21","RAIL","TANDA TPS",440,25,7.8,265,34,,,
"22","RAIL","UNCHAHAR TPS",1050,25,17.6,521,30,,,
"23","RAIL","ROSA TPP Ph-I",600,25,8.7,46,5,"*","Data not received",
"TOTAL OF N.R.",22342,24,331.9,5521,17,5,1,,,
"WESTERN",,,,,,,,,,
"CHHATTISGARH",,,,,,,,,,
"24","RAIL","DSPM TPS",500,15,8.7,119,14,,,
"25","PITHEAD","KORBA-II",440,15,8.7,130,15,,,
"26","PITHEAD","KORBA-WEST TPS",840,15,14.4,454,31,,,
"27","PITHEAD","KORBA STPS",2600,15,37.6,513,14,,,
"28","PITHEAD","SIPAT STPS",1000,20,17.3,654,38,,,
"29","RAIL","PATHADI TPP",600,15,8.7,211,24,,,
"30","RAIL","BHILAI TPS",500,25,7.8,87,11,,,
"GUJARAT",,,,,,,,,,
"31","RAIL","GANDHI NAGAR TPS",870,30,14.2,66,5,"*","Less Receipt",
"32","RAIL","UKAI TPS",850,30,12.1,30,2,"*","**","Higher Generation"
"33","RAIL","SIKKA REP. TPS",240,30,3.8,15,4,"*","Less Receipt",
"34","RAIL","WANAKBORI TPS",1470,30,22.5,111,5,"*","Less Receipt",
"35","RAIL","SABARMATI (C",400,30,6.4,72,11,,,
"STATION)",,,,,,,,,,
"MADHYA PRADESH",,,,,,,,,,
"36","PITHEAD","AMARKANTAK EXT TPS",450,15,5.2,174,33,,,
"37","RAIL","SANJAY GANDHI TPS",1340,20,18.5,9,0,"*","**","Less import"
"38","RAIL","SATPURA TPS",1142.5,20,17.9,91,5,"*","Less Receipt",
"39","PITHEAD","VINDHYACHAL STPS",3260,15,54,631,12,,,
"MAHARASHTRA",,,,,,,,,,
"40","RAIL","BHUSAWAL TPS",470,20,7.5,254,34,,,
"41","RAIL","CHANDRAPUR(MAHAR",2340,20,39,448,11,,,
"ASHTRA) STPS",,,,,,,,,,
"42","RAIL","KHAPARKHEDA TPS- II",840,25,15.6,14,1,"*","**","Less Receipt"
"Page 2 of2",,,,,,,,,,
,,,,,,,,,,
" REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"43","RAIL","KORADI TPS",1040,25,13.9,257,18,,,
"44","RAIL","NASIK TPS",880,25,13.6,211,16,,,
"45","RAIL","PARLI TPS",1170,25,16.7,65,4,"*","Less Receipt",
"46","RAIL","PARAS TPS",555,25,7.5,113,15,,,
"47","RAIL","DAHANU TPS",500,25,9.2,18,2,"*","**","Less Receipt - SECL"
"48","RAIL","WARDHA WARORA",405,20,6.6,40,6,"*","Supply not started",
"TOTAL OF W.R.",24702.5,21,387.4,4789,12,10,4,,,
"SOUTHERN",,,,,,,,,,
"ANDHRA PRADESH",,,,,,,,,,
"49","RAIL","Dr. N.TATA RAO TPS",1760,20,26,134,5,"*","Less Receipt",
"50","RAIL","KOTHAGUDEM TPS",1220,20,18.9,333,18,,,
"51","ROAD","RAMAGUNDEM - B TPS",62.5,20,1,9,9,,,
"52","RAIL","RAYALASEEMA TPS",1050,25,16.5,69,4,"*","Less Receipt",
"53","PITHEAD","RAMAGUNDEM STPS",2600,15,38.1,524,14,,,
"54","RAIL","SIMHADRI",1500,25,23.1,149,6,"*","Less Receipt",
"55","PITHEAD","KAKATIYA TPS",500,15,5.8,110,19,,,
"KARNATAKA",,,,,,,,,,
"56","RAIL","RAICHUR TPS",1720,30,25.1,427,17,,,
"57","RAIL","BELLARY TPS",500,20,8.7,59,7,,,
"TAMIL NADU",,,,,,,,,,
"58","INTER MODAL","ENNORE TPS",450,30,6.9,9,1,"*","**","Less Receipt"
"59","INTER MODAL","METTUR TPS",840,30,13.6,78,6,"*","Less Receipt",
"60","INTER MODAL","NORTH CHENNAI TPS",630,30,10.4,51,5,"*","Less Receipt",
"61","INTER MODAL","TUTICORIN TPS",1050,30,18.5,27,1,"*","**","Less Receipt"
"TOTAL OF S.R.",13882.5,23,212.6,1980,9,7,2,,,
"EASTERN",,,,,,,,,,
"BIHAR",,,,,,,,,,
"62","RAIL","BARAUNI TPS",310,20,1.2,14,12,,,
"63","RAIL","MUZAFFARPUR TPS",220,20,1.7,13,7,,,
"64","PITHEAD","KAHALGAON TPS",2340,15,40.4,7,0,"*","**","Coal Transportation"
"JHARKHAND",,,,,,,,,,
"65","RAIL","PATRATU TPS",770,20,2.9,85,29,,,
"66","ROAD","TENUGHAT TPS",420,20,4.6,54,12,,,
"67","RAIL","BOKARO `B` TPS",630,20,9,357,40,,,
"68","RAIL","CHANDRAPURA(DVC)",890,20,8.1,3,0,"*","**","Less Receipt"
"TPS",,,,,,,,,,
"ORISSA",,,,,,,,,,
"69","PITHEAD","IB VALLEY TPS",420,15,7.8,155,20,,,
"70","PITHEAD","TALCHER (OLD) TPS",470,15,8.7,242,28,,,
"71","PITHEAD","TALCHER STPS",3000,15,52,396,8,,,
"72","RAIL","STERLITE TPP",1200,20,17.3,110,6,"*","Less Receipt",
"WEST BENGAL",,,,,,,,,,
"73","RAIL","DURGAPUR TPS",340,20,4.8,312,65,,,
"74","RAIL","MEJIA TPS",2340,20,28.9,0,0,"*","**","Higher Trun around"
"time",,,,,,,,,,
"75","RAIL","BAKRESWAR TPS",1050,25,17.3,164,9,,,
"76","RAIL","BANDEL TPS",450,20,4.9,29,6,"*","Less Receipt",
